cust;Recency;first_in_windows;Freq_2Y;Freq_1Y;Freq_3M;IPT_mean;CREDIT_PAY;TIPO_TARJETA;CUS_FIRST_BUY;CANTIDAD_COMPRAS_ITEMS_USADOS;cant_dias_active_short;recency_date_short;Frequency_target
140449952;88.0;674.0;6;2;1.0;2.3979400086720375;0.0;0.0;2273.0;0;8.0;1.0;0.0
361818183;55.0;333.0;2;2;1.0;2.444044795918076;2.0;2.0;333.0;0;0.0;9999999.0;0.0
447973907;30.0;30.0;1;1;1.0;9999999.0;1.0;2.0;30.0;0;5.0;9.0;6.0
44090629;48.0;538.0;4;1;1.0;9999999.0;1.0;0.0;3446.0;0;11.0;6.0;3.0
251042745;238.0;339.0;3;3;0.0;1.6641898017193688;3.0;2.0;884.0;0;0.0;9999999.0;0.0
392992020;40.0;40.0;1;1;1.0;9999999.0;0.0;0.0;40.0;0;4.0;1.0;2.0
421650082;160.0;160.0;1;1;0.0;9999999.0;1.0;2.0;160.0;0;0.0;9999999.0;0.0
30292341;36.0;36.0;1;1;1.0;9999999.0;4.0;3.0;1402.0;0;5.0;5.0;4.0
140572889;304.0;304.0;1;1;0.0;9999999.0;1.0;3.0;2264.0;0;0.0;9999999.0;0.0
263189794;141.0;141.0;1;1;0.0;9999999.0;1.0;2.0;141.0;0;4.0;12.0;26.0
156713048;24.0;587.0;8;4;2.0;1.8301125981147008;4.0;1.0;588.0;0;5.0;2.0;1.0
251797919;169.0;169.0;1;1;0.0;9999999.0;0.0;0.0;169.0;0;0.0;9999999.0;0.0
25636686;5.0;551.0;7;3;2.0;2.028414326318906;1.0;2.0;2567.0;0;7.0;2.0;21.0
417657206;172.0;172.0;1;1;0.0;9999999.0;0.0;0.0;172.0;0;0.0;9999999.0;0.0
431233933;57.0;127.0;2;2;1.0;1.845098040014257;2.0;0.0;127.0;0;11.0;0.0;0.0
22622819;328.0;516.0;3;1;0.0;9999999.0;2.0;2.0;1782.0;0;5.0;5.0;2.0
261709262;2.0;95.0;3;3;2.0;1.625453849850428;3.0;0.0;770.0;0;5.0;0.0;2.0
299502598;62.0;62.0;1;1;1.0;9999999.0;1.0;2.0;62.0;0;0.0;9999999.0;1.0
151994302;1.0;626.0;31;26;7.0;0.881341338400488;35.0;2.0;2069.0;0;7.0;1.0;48.0
46508384;47.0;579.0;17;13;2.0;1.2306728263444378;0.0;0.0;1194.0;0;2.0;5.0;5.0
26229538;64.0;130.0;3;3;2.0;1.3550586825559081;0.0;0.0;3281.0;2;0.0;9999999.0;1.0
188017903;102.0;102.0;1;1;0.0;9999999.0;1.0;3.0;1511.0;0;0.0;9999999.0;1.0
382256464;279.0;279.0;1;1;0.0;9999999.0;0.0;0.0;279.0;1;0.0;9999999.0;0.0
382375412;281.0;281.0;1;1;0.0;9999999.0;0.0;0.0;281.0;0;0.0;9999999.0;0.0
256987130;94.0;94.0;1;1;0.0;9999999.0;1.0;1.0;94.0;0;9.0;11.0;0.0
48857603;176.0;607.0;5;4;0.0;1.1508510210763085;9.0;3.0;3096.0;0;0.0;9999999.0;6.0
